country_iso3,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CPV,"1,937.68","2,069.41","2,089.32","2,242.31","2,278.44","2,423.66","2,441.91","2,494.87","2,589.73","2,678.81","2,637.34","2,612.49","2,628.34","2,753.64","2,954.20","3,094.15","3,221.41","3,387.64","3,592.13","3,933.69","4,134.26","4,302.59","4,445.81","4,695.83","4,847.98","5,055.04","5,444.52","5,877.43","6,200.94","6,057.61","6,080.13","6,250.74","6,245.69","6,221.66","6,184.41","6,170.77","6,381.56","6,535.10","6,864.15","7,167.75","6,089.58"
KHM,n/a,n/a,n/a,n/a,n/a,n/a,n/a,972.221,"1,035.65","1,038.65","1,017.00","1,057.27","1,092.68","1,097.33","1,138.94","1,169.04","1,202.11","1,216.77","1,242.20","1,367.82","1,466.61","1,560.29","1,631.97","1,739.97","1,888.50","2,105.58","2,298.19","2,497.48","2,627.67","2,601.02","2,726.15","2,887.47","3,065.65","3,256.52","3,452.75","3,657.56","3,868.68","4,097.53","4,362.09","4,636.63","4,450.62"
CMR,"3,073.26","3,495.63","3,657.09","3,803.28","3,980.40","4,191.33","4,355.83","4,143.96","3,709.29","3,536.38","3,218.29","3,004.59","2,826.81","2,657.43","2,516.10","2,528.45","2,580.39","2,643.50","2,697.38","2,730.50","2,750.51","2,795.87","2,837.96","2,889.28","3,003.25","2,982.03","3,002.14","3,064.13","3,084.99","3,067.22","3,086.22","3,126.79","3,180.77","3,262.76","3,362.67","3,458.69","3,524.44","3,554.52","3,603.55","3,647.00","3,456.60"
CAN,"30,338.40","31,003.55","29,658.32","30,125.96","31,605.57","32,799.61","33,176.33","34,095.46","35,128.55","35,330.43","34,853.97","33,694.31","33,593.09","34,092.99","35,245.66","35,820.46","36,022.70","37,190.07","38,310.30","39,965.61","41,650.36","41,952.43","42,752.97","43,117.35","44,033.29","45,016.85","45,740.72","46,234.50","46,205.53","44,343.81","45,206.13","46,165.98","46,482.40","47,063.78","47,924.29","47,853.97","47,831.31","48,688.07","49,186.08","49,392.36","46,183.76"
CAF,"1,258.10","1,379.28","1,297.31","1,189.86","1,277.15","1,289.56","1,336.31","1,308.77","1,305.31","1,327.96","1,317.79","1,277.97","1,186.70","1,144.58","1,258.09","1,268.19","1,163.60","1,185.03","1,198.92","1,208.87","1,143.54","1,152.55","1,156.92","1,112.47","1,093.14","1,106.06","1,138.19","1,162.50","1,170.59","1,180.61","1,211.53","1,242.71","1,300.41",824.932,822.636,852.786,884.431,912.808,933.458,945.181,928.409
TCD,894.835,781.115,804.74,908.766,932.367,978.779,"1,007.16","1,011.96","1,053.88","1,040.16","1,039.38","1,111.38","1,102.22","1,045.29","1,067.41","1,024.53","1,011.45","1,032.67","1,066.57","1,022.00",976.379,"1,049.71","1,095.76","1,209.51","1,556.35","1,625.22","1,579.44","1,576.68","1,571.80","1,583.61","1,739.94","1,684.38","1,771.95","1,812.24","1,874.21","1,846.95","1,690.28","1,600.06","1,588.15","1,587.07","1,527.13"
CHL,"8,482.68","8,862.44","7,535.11","7,208.09","7,513.46","7,543.85","7,826.76","8,198.51","8,647.44","9,405.62","9,591.62","10,144.42","11,015.11","11,570.45","11,971.63","12,840.69","13,531.43","14,340.51","14,773.13","14,523.95","15,118.43","15,439.73","15,743.63","16,216.81","17,205.58","18,012.05","18,957.20","19,683.55","20,166.03","19,630.22","20,550.90","21,567.92","22,471.28","23,157.03","23,333.08","23,624.56","23,772.76","23,718.00","24,164.25","23,956.04","22,149.68"
CHN,673.845,698.537,749.555,819.591,931.963,"1,042.86","1,118.18","1,228.52","1,344.88","1,380.50","1,413.74","1,512.79","1,708.24","1,925.67","2,152.39","2,364.33","2,573.40","2,781.08","2,973.06","3,183.20","3,427.61","3,688.96","3,996.94","4,375.65","4,791.78","5,303.34","5,947.06","6,749.90","7,363.82","8,012.18","8,836.91","9,627.27","10,333.81","11,082.33","11,841.51","12,611.41","13,399.13","14,253.90","15,154.69","15,983.52","16,296.59"
COL,"6,967.02","6,970.40","6,885.41","6,845.96","6,928.33","7,192.28","7,456.47","7,695.61","7,844.10","7,947.04","8,121.94","8,145.34","8,333.28","8,644.15","8,927.75","9,235.12","9,274.00","9,467.87","9,376.08","8,868.78","8,993.17","9,028.01","9,138.76","9,378.84","9,758.00","10,093.15","10,642.82","11,225.19","11,457.08","11,451.66","11,826.73","12,501.48","12,840.86","13,345.69","13,787.83","14,036.05","14,168.84","14,202.93","14,408.72","14,721.96","13,578.11"
COM,"2,636.75","2,713.08","2,756.09","2,776.10","2,863.28","2,854.63","2,826.06","2,797.80","2,848.44","2,735.21","2,855.80","2,768.79","2,909.74","2,920.58","2,745.09","2,839.17","2,765.38","2,826.88","2,768.32","2,784.41","2,699.98","2,787.59","2,855.44","2,851.00","2,869.17","2,960.24","2,834.33","2,785.56","2,822.59","2,839.50","2,870.75","2,912.04","2,925.83","2,976.36","2,958.89","2,917.91","2,938.60","2,980.06","3,006.67","2,982.01","2,889.31"
COD,"2,508.20","2,451.01","2,361.92","2,318.71","2,353.38","2,288.77","2,320.24","2,306.11","2,242.81","2,143.81","1,939.01","1,718.54","1,479.99","1,231.77","1,114.81","1,109.15","1,057.64",929.496,875.958,826.128,736.81,700.908,700.018,716.151,740.305,760.863,775.932,798.209,820.82,817.334,847.634,877.318,910.037,956.451,"1,014.53","1,051.15","1,042.19","1,046.71","1,072.42","1,083.85","1,048.77"
COG,"4,239.25","4,219.75","4,192.05","4,163.81","4,135.07","4,105.86","4,076.22","4,046.18","4,784.90","5,460.30","5,349.54","5,368.00","5,456.02","5,392.97","5,187.69","5,261.84","5,312.94","5,131.32","5,454.20","5,125.48","5,588.15","5,188.93","5,112.25","5,010.43","4,878.59","5,198.02","5,476.24","4,989.31","5,174.59","5,635.88","6,044.48","6,027.14","6,465.04","6,262.42","6,520.04","6,135.17","5,344.95","4,986.53","4,552.22","4,413.57","3,969.51"
CRI,"10,304.65","9,773.99","8,798.19","8,793.06","9,229.79","9,023.83","9,245.16","9,418.95","9,483.90","9,765.13","9,872.70","9,866.14","10,539.02","10,998.45","11,162.69","11,300.75","11,148.62","11,463.63","11,987.24","12,197.34","12,760.62","12,727.74","12,936.72","13,283.94","13,653.14","13,982.47","14,784.53","15,771.54","16,279.90","15,902.11","16,443.35","16,948.67","17,546.98","17,756.30","18,156.75","18,593.60","19,145.00","19,711.65","19,893.07","20,111.86","18,949.28"
CIV,"6,078.55","6,150.86","5,933.35","5,505.09","5,248.26","5,234.61","5,278.55","5,056.18","5,066.56","5,012.20","4,762.99","4,581.18","4,396.60","3,994.13","3,884.58","3,985.24","4,190.65","4,318.19","4,416.29","4,374.00","4,174.98","4,074.12","3,904.65","3,753.97","3,703.90","3,672.18","3,633.38","3,603.81","3,601.80","3,624.67","3,604.10","3,342.14","3,611.33","3,846.17","4,078.37","4,326.53","4,519.97","4,729.65","4,927.42","5,101.84","5,085.77"
HRV,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"13,976.75","13,152.39","14,235.93","15,423.87","16,180.25","16,961.12","17,549.45","17,182.94","18,531.14","19,416.09","20,518.51","21,669.87","21,893.98","22,821.86","23,972.11","25,209.78","25,698.61","23,843.47","23,588.16","24,294.71","23,785.86","23,746.37","23,765.74","24,540.50","25,581.45","26,775.70","27,769.85","28,711.16","26,274.29"
CYP,"15,502.30","15,776.75","16,580.59","17,235.55","18,506.10","19,158.69","19,613.08","20,785.40","22,280.57","23,734.60","24,967.78","24,497.08","26,102.26","25,646.75","26,598.54","28,948.27","28,820.75","29,139.13","30,512.33","31,678.62","33,196.99","34,160.01","35,030.58","35,537.80","36,850.19","38,102.25","39,311.64","40,557.27","41,039.90","39,173.17","38,878.59","38,076.75","35,814.77","33,318.21","33,009.32","34,513.58","36,679.08","38,277.37","39,843.85","40,522.44","38,018.91"
